Method,Threshold,Pool,LeadTimeMin,TP,FN,FP,TN,CSI,POD,FAR
Baseline,16,1,5,87495592,3683201,10316702,308432128,0.862064,0.959605,0.105474
Baseline,16,1,10,86509136,4761617,13202347,305454560,0.828052,0.947830,0.132405
Baseline,16,1,15,85778304,5747028,17431150,300971136,0.787271,0.937208,0.168891
Baseline,16,1,20,85133800,6922341,21762002,296109696,0.747981,0.924803,0.203581
Baseline,16,1,25,84855176,7600861,26881078,290590464,0.711054,0.917789,0.240576
Baseline,16,1,30,84206544,8476770,31226616,286017856,0.679579,0.908540,0.270517
Baseline,16,1,35,83792416,9159788,35761552,281213920,0.650998,0.901457,0.299125
Baseline,16,1,40,83573512,9496169,41933704,274924384,0.619048,0.897967,0.334114
Baseline,16,1,45,82633216,10826636,46323844,270144128,0.591151,0.884157,0.359219
Baseline,16,1,50,82280160,11503721,49572800,266570912,0.573954,0.877338,0.375970
Baseline,16,1,55,81925144,11242507,53617008,263143056,0.558132,0.879330,0.395574
Baseline,16,1,60,81638200,11736566,57616384,258936544,0.540682,0.874307,0.413749
Baseline,16,4,5,6312288,369244,508126,18430816,0.877968,0.944737,0.074501
Baseline,16,4,10,6194149,496957,626026,18303348,0.846527,0.925729,0.091790
Baseline,16,4,15,6144478,563383,881564,18031050,0.809610,0.916012,0.125471
Baseline,16,4,20,6118570,623238,1178970,17699696,0.772471,0.907556,0.161557
Baseline,16,4,25,6119385,648901,1533284,17318912,0.737136,0.904126,0.200359
Baseline,16,4,30,6091050,692860,1845767,16990804,0.705826,0.897867,0.232558
Baseline,16,4,35,6079953,720179,2185384,16634964,0.676639,0.894093,0.264403
Baseline,16,4,40,6084810,725112,2615702,16194856,0.645560,0.893521,0.300638
Baseline,16,4,45,6036543,796219,2935916,15851802,0.617949,0.883470,0.327214
Baseline,16,4,50,6023071,832349,3177821,15587239,0.600312,0.878585,0.345382
Baseline,16,4,55,6008647,810050,3470684,15331099,0.583966,0.881202,0.366132
Baseline,16,4,60,5999237,832695,3758834,15029714,0.566459,0.878117,0.385203
Baseline,16,16,5,552690,42858,24427,981305,0.891471,0.928036,0.042326
Baseline,16,16,10,533259,63844,23908,980269,0.858695,0.893077,0.042910
Baseline,16,16,15,527168,71203,33818,969091,0.833877,0.881005,0.060283
Baseline,16,16,20,525988,74582,47718,952992,0.811349,0.875815,0.083175
Baseline,16,16,25,528352,73678,67690,931560,0.788915,0.877617,0.113566
Baseline,16,16,30,529423,73894,86551,911412,0.767427,0.877520,0.140511
Baseline,16,16,35,531910,72325,109858,887187,0.744875,0.880303,0.171180
Baseline,16,16,40,535599,69401,138216,858064,0.720651,0.885288,0.205125
Baseline,16,16,45,534939,71573,161046,833722,0.696936,0.881992,0.231393
Baseline,16,16,50,536143,72339,178469,814329,0.681291,0.881116,0.249743
Baseline,16,16,55,536992,69361,200531,794396,0.665513,0.885610,0.271898
Baseline,16,16,60,537788,69200,221808,772484,0.648879,0.885994,0.292008
Baseline,74,1,5,38447732,4777714,3174592,363527424,0.828614,0.889470,0.076271
Baseline,74,1,10,36533424,6558351,4109634,362726304,0.773990,0.847805,0.101115
Baseline,74,1,15,34979272,8135342,5238126,361574944,0.723419,0.811309,0.130245
Baseline,74,1,20,33382838,10129367,6094231,360321248,0.672954,0.767206,0.154374
Baseline,74,1,25,31888764,11790900,6973068,359274880,0.629557,0.730060,0.179432
Baseline,74,1,30,30025628,13712906,7586717,358602400,0.585007,0.686480,0.201708
Baseline,74,1,35,28426356,15499607,8011107,357990560,0.547323,0.647142,0.219859
Baseline,74,1,40,26906280,17012508,9029749,356979200,0.508159,0.612637,0.251273
Baseline,74,1,45,24768110,19417100,9772367,355970048,0.459029,0.560552,0.282925
Baseline,74,1,50,23292440,20965062,9836179,355834016,0.430594,0.526294,0.296909
Baseline,74,1,55,21843382,21726340,9852422,356505472,0.408883,0.501343,0.310843
Baseline,74,1,60,20513912,23195324,9816620,356401984,0.383252,0.469327,0.323655
Baseline,74,4,5,2930915,473370,125725,22090476,0.830285,0.860949,0.041132
Baseline,74,4,10,2735495,663820,164407,22056760,0.767595,0.804719,0.056694
Baseline,74,4,15,2618127,782543,236404,21983400,0.719844,0.769886,0.082817
Baseline,74,4,20,2519249,907544,305168,21888528,0.675047,0.735162,0.108046
Baseline,74,4,25,2431388,1009507,378363,21801230,0.636613,0.706615,0.134661
Baseline,74,4,30,2316818,1128883,437246,21737538,0.596665,0.672379,0.158764
Baseline,74,4,35,2217374,1242687,481861,21678552,0.562511,0.640848,0.178518
Baseline,74,4,40,2126838,1333628,563383,21596632,0.528558,0.614610,0.209419
Baseline,74,4,45,1987411,1491420,624924,21516728,0.484291,0.571287,0.239220
Baseline,74,4,50,1887543,1598707,639867,21494358,0.457462,0.541425,0.253171
Baseline,74,4,55,1784473,1658631,654293,21523072,0.435514,0.518274,0.268289
Baseline,74,4,60,1689979,1763898,661100,21505500,0.410690,0.489299,0.281190
Baseline,74,16,5,292183,55581,4657,1248859,0.829074,0.840176,0.015689
Baseline,74,16,10,263562,85215,4796,1247707,0.745425,0.755675,0.017872
Baseline,74,16,15,249255,99885,7284,1244856,0.699322,0.713911,0.028393
Baseline,74,16,20,239871,111260,10210,1239939,0.663836,0.683138,0.040827
Baseline,74,16,25,233233,118855,13934,1235258,0.637210,0.662428,0.056375
Baseline,74,16,30,223966,128741,17963,1230610,0.604219,0.634992,0.074249
Baseline,74,16,35,216758,137096,21208,1226218,0.577926,0.612563,0.089122
Baseline,74,16,40,211190,142542,26875,1220673,0.554877,0.597034,0.112889
Baseline,74,16,45,201383,153693,31649,1214555,0.520740,0.567155,0.135814
